Order ID,Order Date,CustomerName,State,City,Amount,PROFIT,Quantity,Category,Sub-Category
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,485,29,4,Electronics,Electronic Games
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,25,-5,4,Clothing,Saree
B-25610,09-04-2018,Yogesh,Bihar,Patna,1076,-38,4,Electronics,Printers
B-25610,09-04-2018,Yogesh,Bihar,Patna,107,-54,4,Clothing,Stole
B-25610,09-04-2018,Yogesh,Bihar,Patna,68,-55,5,Electronics,Accessories
B-25610,09-04-2018,Yogesh,Bihar,Patna,781,-594,6,Electronics,Printers
B-25610,09-04-2018,Yogesh,Bihar,Patna,43,0,3,Clothing,Saree
B-25610,09-04-2018,Yogesh,Bihar,Patna,30,-5,2,Furniture,Furnishings
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram,160,-59,2,Clothing,Saree
B-25612,12-04-2018,Shrichand,Punjab,Chandigarh,259,-55,2,Furniture,Chairs
B-25613,12-04-2018,Mukesh,Haryana,Chandigarh,1603,0,9,Clothing,Saree
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,494,54,4,Furniture,Bookcases
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,98,-12,2,Electronics,Electronic Games
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok,68,20,5,Clothing,Hankerchief
B-25616,15-04-2018,Kanak,Goa,Goa,42,12,5,Clothing,Hankerchief
B-25616,15-04-2018,Kanak,Goa,Goa,116,-56,5,Clothing,Stole
B-25616,15-04-2018,Kanak,Goa,Goa,22,-2,3,Clothing,Hankerchief
B-25616,15-04-2018,Kanak,Goa,Goa,14,-2,3,Clothing,Hankerchief
B-25617,17-04-2018,Sagar,Nagaland,Kohima,305,-270,5,Electronics,Electronic Games
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,362,127,1,Furniture,Bookcases
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,12,0,2,Clothing,Hankerchief
B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad,353,90,8,Clothing,Saree
B-25620,20-04-2018,Sarita,Maharashtra,Pune,193,46,1,Electronics,Printers
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,233,-10,5,Electronics,Electronic Games
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,228,63,3,Electronics,Electronic Games
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,333,-15,3,Electronics,Phones
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur,534,0,3,Clothing,Saree
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,53,1,4,Clothing,Stole
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,158,69,3,Clothing,Stole
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,149,-87,4,Clothing,Saree
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,105,20,2,Clothing,Stole
B-25624,22-04-2018,Vini,Karnataka,Bangalore,26,12,3,Clothing,Hankerchief
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,97,29,2,Clothing,Hankerchief
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,59,30,3,Clothing,Leggings
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,635,-349,5,Clothing,Saree
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,46,-14,1,Electronics,Phones
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,1103,-276,3,Furniture,Chairs
B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore,55,-39,4,Clothing,Stole
B-25628,24-04-2018,Pooja,Bihar,Patna,45,13,4,Clothing,Skirt
B-25628,24-04-2018,Pooja,Bihar,Patna,24,-9,4,Clothing,Saree
B-25628,24-04-2018,Pooja,Bihar,Patna,35,-8,2,Furniture,Furnishings
B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram,1560,421,3,Clothing,Trousers
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,133,12,5,Clothing,Stole
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,114,-39,5,Clothing,Kurti
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,143,-129,2,Electronics,Phones
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,40,-7,3,Clothing,Stole
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,34,-22,4,Clothing,T-shirt
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,42,-26,2,Clothing,Kurti
B-25631,24-04-2018,Ritu,Haryana,Chandigarh,89,-89,2,Furniture,Furnishings
B-25632,25-04-2018,Manish,Himachal Pradesh,Simla,19,-2,2,Clothing,Leggings
B-25633,26-04-2018,Amit,Sikkim,Gangtok,249,-130,4,Electronics,Phones
B-25633,26-04-2018,Amit,Sikkim,Gangtok,711,-8,4,Clothing,Saree
B-25633,26-04-2018,Amit,Sikkim,Gangtok,496,-79,2,Clothing,Trousers
B-25634,26-04-2018,Sanjay,Goa,Goa,389,-83,3,Furniture,Chairs
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,40,16,3,Clothing,Hankerchief
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,23,2,2,Clothing,Skirt
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,382,30,3,Clothing,Saree
B-25636,26-04-2018,Nishi,Maharashtra,Mumbai,637,113,5,Clothing,Saree
B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore,117,14,3,Clothing,Shirt
B-25638,26-04-2018,Parth,Maharashtra,Pune,182,-11,3,Furniture,Bookcases
B-25638,26-04-2018,Parth,Maharashtra,Pune,880,97,8,Furniture,Furnishings
B-25638,26-04-2018,Parth,Maharashtra,Pune,154,39,3,Clothing,Hankerchief
B-25638,26-04-2018,Parth,Maharashtra,Pune,816,-96,3,Electronics,Printers
B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal,1629,-153,3,Electronics,Phones
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,68,-62,2,Clothing,Trousers
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,314,-239,13,Clothing,Hankerchief
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,122,-47,4,Clothing,Saree
B-25641,27-04-2018,Parishi,West Bengal,Kolkata,22,-6,1,Furniture,Furnishings
B-25642,28-04-2018,Ajay,Karnataka,Bangalore,434,26,11,Clothing,Shirt
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,1061,-36,8,Furniture,Bookcases
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,50,-44,2,Clothing,Hankerchief
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,37,-23,4,Clothing,Shirt
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,263,-63,2,Electronics,Electronic Games
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,36,-7,1,Electronics,Electronic Games
B-25644,30-04-2018,Mayank,Maharashtra,Mumbai,76,-92,8,Furniture,Furnishings
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,273,-87,4,Electronics,Phones
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,86,0,4,Clothing,T-shirt
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,133,-42,1,Electronics,Printers
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,183,-66,5,Electronics,Phones
B-25646,01-05-2018,Sonal,Bihar,Patna,20,-8,2,Clothing,Saree
B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram,42,-6,4,Clothing,Saree
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,100,-23,1,Electronics,Phones
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,30,13,1,Clothing,T-shirt
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,55,-26,4,Clothing,Saree
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,130,-41,4,Clothing,Saree
B-25649,05-05-2018,Rachna,Haryana,Chandigarh,27,-25,2,Clothing,Stole
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,245,-78,2,Electronics,Printers
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,211,-105,2,Clothing,Saree
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,31,-2,2,Clothing,Saree
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,28,-26,2,Clothing,Stole
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,512,-225,5,Clothing,Saree
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,925,-447,5,Electronics,Electronic Games
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,238,20,2,Clothing,Saree
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,351,-47,8,Electronics,Phones
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,269,111,3,Clothing,Trousers
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,200,-60,4,Furniture,Bookcases
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,44,-8,3,Clothing,Stole
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,7,0,1,Clothing,Leggings
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,11,-4,2,Clothing,Skirt
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,16,-10,2,Clothing,T-shirt
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,172,-103,3,Furniture,Chairs
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,49,3,1,Clothing,Shirt
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,823,-18,7,Furniture,Chairs
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,23,4,1,Clothing,Saree
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,457,-41,4,Clothing,Saree
B-25652,08-05-2018,Tushina,Goa,Goa,24,-21,7,Clothing,Skirt
B-25652,08-05-2018,Tushina,Goa,Goa,25,-2,5,Clothing,Hankerchief
B-25652,08-05-2018,Tushina,Goa,Goa,174,-70,3,Electronics,Accessories
B-25652,08-05-2018,Tushina,Goa,Goa,206,-206,3,Clothing,Saree
B-25652,08-05-2018,Tushina,Goa,Goa,21,-13,3,Clothing,Leggings
B-25652,08-05-2018,Tushina,Goa,Goa,34,-6,4,Clothing,Leggings
B-25652,08-05-2018,Tushina,Goa,Goa,9,-6,2,Clothing,Hankerchief
B-25653,08-05-2018,Farah,Nagaland,Kohima,1279,-640,8,Electronics,Printers
B-25653,08-05-2018,Farah,Nagaland,Kohima,28,-3,2,Clothing,Saree
B-25653,08-05-2018,Farah,Nagaland,Kohima,427,-50,7,Electronics,Phones
B-25653,08-05-2018,Farah,Nagaland,Kohima,168,-10,3,Electronics,Accessories
B-25653,08-05-2018,Farah,Nagaland,Kohima,1327,318,8,Furniture,Chairs
B-25653,08-05-2018,Farah,Nagaland,Kohima,195,-117,5,Electronics,Phones
B-25653,08-05-2018,Farah,Nagaland,Kohima,115,25,1,Electronics,Accessories
B-25653,08-05-2018,Farah,Nagaland,Kohima,668,-31,3,Electronics,Printers
B-25653,08-05-2018,Farah,Nagaland,Kohima,227,102,8,Electronics,Accessories
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,34,12,3,Clothing,Hankerchief
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,229,-23,2,Clothing,Saree
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,54,-3,3,Clothing,Saree
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,269,-86,2,Electronics,Electronic Games
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,122,-21,3,Furniture,Furnishings
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,105,46,2,Clothing,Stole
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,450,-90,3,Electronics,Printers
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,121,-17,3,Furniture,Furnishings
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,44,-26,3,Clothing,Hankerchief
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,7,-4,3,Clothing,Hankerchief
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,396,-31,9,Clothing,Saree
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,97,-62,2,Clothing,Trousers
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,110,-68,4,Clothing,Saree
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,312,-312,7,Furniture,Chairs
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,9,-6,2,Clothing,Skirt
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,6,-3,1,Clothing,Hankerchief
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,74,23,8,Clothing,Skirt
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,534,0,3,Clothing,Saree
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,30,-5,5,Clothing,Stole
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,61,-23,2,Clothing,Saree
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,6,3,1,Clothing,Hankerchief
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,24,-1,2,Clothing,Hankerchief
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,56,18,2,Clothing,Hankerchief
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,406,126,2,Clothing,Saree
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,624,37,2,Electronics,Electronic Games
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,101,18,9,Clothing,Skirt
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,1389,680,7,Clothing,Saree
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,651,169,5,Electronics,Printers
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,13,-1,3,Clothing,Hankerchief
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,1021,-48,4,Electronics,Electronic Games
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,32,-22,5,Clothing,Saree
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,332,-43,6,Electronics,Phones
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,288,-180,4,Furniture,Chairs
B-25658,14-05-2018,Shefali,Rajasthan,Jaipur,27,9,2,Clothing,T-shirt
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata,148,72,7,Clothing,T-shirt
B-25660,16-05-2018,Shruti,Karnataka,Bangalore,245,-78,3,Clothing,Saree
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,19,-15,3,Clothing,Hankerchief
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,224,-81,3,Furniture,Chairs
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,58,-42,2,Furniture,Chairs
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,145,-104,5,Furniture,Chairs
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,55,-33,2,Furniture,Chairs
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,7,-1,2,Clothing,Hankerchief
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,24,-2,2,Clothing,T-shirt
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,86,-21,1,Electronics,Electronic Games
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,385,-77,11,Furniture,Furnishings
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore,294,138,2,Electronics,Printers
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,444,-200,4,Electronics,Phones
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,785,52,2,Electronics,Phones
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,258,-27,2,Electronics,Phones
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,83,-48,1,Furniture,Bookcases
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram,166,-113,4,Electronics,Accessories
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh,934,-916,7,Electronics,Electronic Games
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,11,-2,4,Clothing,Hankerchief
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,41,6,5,Clothing,Skirt
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,344,-34,3,Clothing,Saree
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,1030,206,8,Electronics,Printers
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,516,69,4,Furniture,Bookcases
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla,123,17,3,Furniture,Furnishings
B-25669,25-05-2018,Piyali,Sikkim,Gangtok,610,-66,2,Furniture,Tables
B-25670,25-05-2018,Charika,Goa,Goa,74,29,3,Clothing,Stole
B-25670,25-05-2018,Charika,Goa,Goa,24,1,2,Clothing,Hankerchief
B-25670,25-05-2018,Charika,Goa,Goa,14,2,1,Clothing,Hankerchief
B-25670,25-05-2018,Charika,Goa,Goa,656,-36,2,Furniture,Bookcases
B-25671,27-05-2018,Mitali,Nagaland,Kohima,832,0,3,Clothing,Trousers
B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad,27,-15,1,Clothing,Stole
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,143,-124,5,Clothing,Saree
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,44,-17,5,Clothing,Saree
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,45,-2,4,Clothing,Shirt
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,16,-1,1,Clothing,Saree
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,37,-5,3,Clothing,T-shirt
B-25674,28-05-2018,Mahima,Maharashtra,Pune,17,-12,5,Clothing,Skirt
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal,929,-93,9,Clothing,Saree
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,342,-103,4,Electronics,Electronic Games
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,1263,-56,5,Clothing,Trousers
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,674,-187,2,Furniture,Tables
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,32,6,3,Clothing,Shirt
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,79,36,4,Clothing,Shirt
B-25677,02-06-2018,Ekta,West Bengal,Kolkata,20,-2,1,Electronics,Accessories
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,64,-7,3,Clothing,Saree
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,7,-3,2,Clothing,Skirt
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,327,-39,1,Electronics,Phones
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,27,-25,2,Clothing,Shirt
B-25679,04-06-2018,Avni,Maharashtra,Mumbai,76,-50,1,Clothing,Saree
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore,73,-25,3,Clothing,Saree
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,68,-27,3,Electronics,Accessories
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,523,204,7,Clothing,Trousers
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,44,-3,1,Clothing,Saree
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,243,-14,2,Furniture,Chairs
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,1625,-77,3,Electronics,Phones
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,1096,-658,7,Electronics,Electronic Games
B-25682,07-06-2018,Krutika,Bihar,Patna,545,-73,11,Electronics,Phones
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,433,26,3,Electronics,Printers
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,245,-3,4,Electronics,Phones
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,155,56,3,Furniture,Furnishings
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,148,52,5,Clothing,Stole
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,86,-55,6,Clothing,Saree
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai,134,42,2,Furniture,Chairs
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,51,7,2,Furniture,Furnishings
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,529,137,3,Electronics,Phones
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,264,-30,3,Furniture,Furnishings
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,45,-2,4,Clothing,Shirt
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,381,-13,2,Clothing,Saree
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,332,-503,3,Electronics,Printers
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,1829,-56,6,Furniture,Tables
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,17,6,1,Clothing,Stole
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,357,139,2,Clothing,Saree
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,51,21,3,Clothing,T-shirt
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,387,-213,5,Clothing,Saree
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,14,-1,4,Clothing,Kurti
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore,352,-345,5,Clothing,Saree
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,469,-459,3,Electronics,Electronic Games
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,97,17,2,Clothing,Stole
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,149,36,3,Clothing,Stole
B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore,31,10,3,Clothing,Skirt
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,714,56,4,Clothing,Saree
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,75,-25,3,Clothing,Stole
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,17,-9,3,Clothing,Stole
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore,141,28,7,Furniture,Furnishings
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,76,-72,9,Clothing,Hankerchief
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,632,-316,6,Clothing,Saree
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,32,-16,6,Clothing,Saree
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,68,-30,1,Electronics,Phones
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,82,-39,5,Clothing,T-shirt
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,72,-49,1,Electronics,Phones
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,13,-13,2,Clothing,Skirt
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur,167,43,7,Clothing,T-shirt
B-25695,18-06-2018,Suhani,West Bengal,Kolkata,171,14,9,Clothing,Shirt
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,117,-6,3,Electronics,Phones
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,116,-4,1,Clothing,Saree
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,887,80,3,Electronics,Printers
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,275,-275,4,Clothing,Saree
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,44,7,3,Clothing,Kurti
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,168,-9,3,Clothing,Saree
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,114,8,3,Electronics,Accessories
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,1300,-16,8,Electronics,Printers
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,4,-3,1,Clothing,Skirt
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,73,-7,1,Electronics,Phones
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,67,-42,3,Clothing,Stole
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,322,-193,5,Electronics,Printers
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,115,-39,3,Clothing,Trousers
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,87,-83,5,Clothing,Kurti
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,27,-6,4,Clothing,Hankerchief
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,207,-153,3,Clothing,Saree
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,516,-392,8,Furniture,Chairs
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,7,-2,1,Clothing,Hankerchief
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,65,-16,2,Electronics,Phones
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow,20,-22,1,Furniture,Furnishings
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow,49,-31,2,Clothing,Stole
